Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,037833100,AAPL ,"138,533,016","17,538,279,825.60",11.943,Apple Inc,Common Stock,Information Technology,01/06/2021
QQQ,594918104,MSFT ,"61,603,931","13,075,434,354.75",8.904,Microsoft Corp,Common Stock,Information Technology,01/06/2021
QQQ,023135106,AMZN ,"4,088,320","12,830,701,721.60",8.737,Amazon.com Inc,Common Stock,Consumer Discretionary,01/06/2021
QQQ,88160R101,TSLA ,"9,558,292","7,225,877,586.16",4.921,Tesla Inc,Common Stock,Consumer Discretionary,01/06/2021
QQQ,30303M102,FB ,"19,587,884","5,157,685,736.04",3.512,Facebook Inc,Common Stock,Communication Services,01/06/2021
QQQ,02079K107,GOOG ,"2,687,853","4,664,204,432.37",3.176,Alphabet Inc,Common Stock,Communication Services,01/06/2021
QQQ,02079K305,GOOGL ,"2,449,749","4,220,623,557.12",2.874,Alphabet Inc,Common Stock,Communication Services,01/06/2021
QQQ,67066G104,NVDA ,"7,675,139","3,872,721,636.62",2.637,NVIDIA Corp,Common Stock,Information Technology,01/06/2021
QQQ,70450Y103,PYPL ,"14,527,985","3,295,382,837.55",2.244,PayPal Holdings Inc,Common Stock,Information Technology,01/06/2021
QQQ,20030N101,CMCSA ,"56,613,181","2,862,362,431.36",1.949,Comcast Corp,Common Stock,Communication Services,01/06/2021
QQQ,00724F101,ADBE ,"5,948,093","2,773,655,246.83",1.889,Adobe Inc,Common Stock,Information Technology,01/06/2021
QQQ,64110L106,NFLX ,"5,477,949","2,741,658,695.01",1.867,Netflix Inc,Common Stock,Communication Services,01/06/2021
QQQ,458140100,INTC ,"50,811,847","2,596,485,381.70",1.768,Intel Corp,Common Stock,Information Technology,01/06/2021
QQQ,713448108,PEP ,"17,135,142","2,449,125,846.06",1.668,PepsiCo Inc,Common Stock,Consumer Staples,01/06/2021
QQQ,17275R102,CSCO ,"52,392,899","2,326,244,715.60",1.584,Cisco Systems Inc,Common Stock,Information Technology,01/06/2021
QQQ,11135F101,AVGO ,"5,015,474","2,133,883,568.04",1.453,Broadcom Inc,Common Stock,Information Technology,01/06/2021
QQQ,747525103,QCOM ,"14,023,494","2,120,212,057.86",1.444,QUALCOMM Inc,Common Stock,Information Technology,01/06/2021
QQQ,22160K105,COST ,"5,470,866","2,024,329,837.32",1.378,Costco Wholesale Corp,Common Stock,Consumer Staples,01/06/2021
QQQ,872590104,TMUS ,"15,389,690","2,024,205,925.70",1.378,T-Mobile US Inc,Common Stock,Communication Services,01/06/2021
QQQ,882508104,TXN ,"11,381,768","1,869,113,940.96",1.273,Texas Instruments Inc,Common Stock,Information Technology,01/06/2021
